time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.460,9.878647,0.0,9.878647,0.0,9.966056,10.0,-0.36896208,-0.43633232,-0.36896208,-0.43633232,-0.002499702,0.0,0.49633113,0.42806694,0.49633113,0.5739534
000.465,9.874125,0.0,9.874125,0.0,9.965068,10.0,-0.37062258,-0.43633232,-0.37062258,-0.43633232,-0.002437638,0.0,0.49708754,0.40173793,0.49708754,0.60155934
000.470,9.869497,0.0,9.869497,0.0,9.964086,10.0,-0.37224913,-0.43633232,-0.37224913,-0.43633232,-0.002377115,0.0,0.49782354,0.43349224,0.49782354,0.571055
000.475,9.864764,0.0,9.864764,0.0,9.96311,10.0,-0.3738285,-0.43633232,-0.3738285,-0.43633232,-0.002318094,0.0,0.4985431,0.40723065,0.4985431,0.59853107
000.480,9.859925,0.0,9.859925,0.0,9.96214,10.0,-0.37537587,-0.43633232,-0.37537587,-0.43633232,-0.0022605385,0.0,0.49885824,0.43821666,0.49885824,0.56796306
000.485,9.85498,0.0,9.85498,0.0,9.961176,10.0,-0.37687805,-0.43633232,-0.37687805,-0.43633232,-0.0022044117,0.0,0.49953794,0.41208994,0.49953794,0.5952364
000.490,9.849929,0.0,9.849929,0.0,9.960217,10.0,-0.3783501,-0.43633232,-0.3783501,-0.43633232,-0.0021496778,0.0,0.50019854,0.4431569,0.50019854,0.56528634
000.495,9.8447695,0.0,9.8447695,0.0,9.959265,10.0,-0.37977886,-0.43633232,-0.37977886,-0.43633232,-0.002096303,0.0,0.5008405,0.41702086,0.5008405,0.5925084
000.500,9.839502,0.0,9.839502,0.0,9.958318,10.0,-0.3811793,-0.43633232,-0.3811793,-0.43633232,-0.0020442528,0.0,0.5014653,0.4478885,0.5014653,0.56269276
000.505,9.834127,0.0,9.834127,0.0,9.9573765,10.0,-0.3825382,-0.43633232,-0.3825382,-0.43633232,-0.0019934948,0.0,0.5020705,0.42161053,0.5020705,0.58999413
000.510,9.828643,0.0,9.828643,0.0,9.956441,10.0,-0.3838705,-0.43633232,-0.3838705,-0.43633232,-0.0019439969,0.0,0.50265855,0.4523988,0.50265855,0.5601955
000.515,9.82305,0.0,9.82305,0.0,9.955511,10.0,-0.38516295,-0.43633232,-0.38516295,-0.43633232,-0.0018957276,0.0,0.50322825,0.42598656,0.50322825,0.5875657
000.520,9.817347,0.0,9.817347,0.0,9.954587,10.0,-0.38643047,-0.43633232,-0.38643047,-0.43633232,-0.0018486565,0.0,0.50377953,0.45671344,0.50377953,0.5577657
000.525,9.811533,0.0,9.811533,0.0,9.953669,10.0,-0.3876597,-0.43633232,-0.3876597,-0.43633232,-0.0018027538,0.0,0.50431275,0.4300723,0.50431275,0.5853019
000.530,9.805609,0.0,9.805609,0.0,9.952756,10.0,-0.38886556,-0.43633232,-0.38886556,-0.43633232,-0.0017579906,0.0,0.5048279,0.46076998,0.5048279,0.55546695
000.535,9.799573,0.0,9.799573,0.0,9.951849,10.0,-0.39003468,-0.43633232,-0.39003468,-0.43633232,-0.0017143385,0.0,0.505325,0.43406385,0.505325,0.58300394
000.540,9.7934265,0.0,9.7934265,0.0,9.950948,10.0,-0.3911819,-0.43633232,-0.3911819,-0.43633232,-0.0016717701,0.0,0.5058041,0.4645416,0.5058041,0.5533249
000.545,9.787168,0.0,9.787168,0.0,9.950052,10.0,-0.3922938,-0.43633232,-0.3922938,-0.43633232,-0.0016302584,0.0,0.5062652,0.43782684,0.5062652,0.58080643
