time,posX,setPosX,posY,setPosY,posZ,setPosZ,angleX,setAngleX,angleY,setAngleY,angleZ,setAngleZ,m1,m2,m3,m4
000.345,0.0,0.0,0.0,0.0,0.7869196,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.350,0.0,0.0,0.0,0.0,0.80997413,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.355,0.0,0.0,0.0,0.0,0.8333615,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.360,0.0,0.0,0.0,0.0,0.8570817,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.365,0.0,0.0,0.0,0.0,0.8811348,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.370,0.0,0.0,0.0,0.0,0.90552074,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.375,0.0,0.0,0.0,0.0,0.9302395,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.380,0.0,0.0,0.0,0.0,0.95529115,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.385,0.0,0.0,0.0,0.0,0.98067564,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.390,0.0,0.0,0.0,0.0,1.006393,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.395,0.0,0.0,0.0,0.0,1.0324432,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.400,0.0,0.0,0.0,0.0,1.0588262,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.405,0.0,0.0,0.0,0.0,1.0855421,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.410,0.0,0.0,0.0,0.0,1.1125908,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.415,0.0,0.0,0.0,0.0,1.1399724,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.420,0.0,0.0,0.0,0.0,1.1676869,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.425,0.0,0.0,0.0,0.0,1.1957343,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.430,0.0,0.0,0.0,0.0,1.2241144,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.435,0.0,0.0,0.0,0.0,1.2528274,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.440,0.0,0.0,0.0,0.0,1.2818733,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.445,0.0,0.0,0.0,0.0,1.3112521,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.450,0.0,0.0,0.0,0.0,1.3409637,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.455,0.0,0.0,0.0,0.0,1.3710082,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.460,0.0,0.0,0.0,0.0,1.4013854,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.465,0.0,0.0,0.0,0.0,1.4320955,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.470,0.0,0.0,0.0,0.0,1.4631386,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.475,0.0,0.0,0.0,0.0,1.4945145,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.480,0.0,0.0,0.0,0.0,1.5262232,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.485,0.0,0.0,0.0,0.0,1.5582647,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.490,0.0,0.0,0.0,0.0,1.5906391,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.495,0.0,0.0,0.0,0.0,1.6233463,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.500,0.0,0.0,0.0,0.0,1.6563865,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.505,0.0,0.0,0.0,0.0,1.6897595,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.510,0.0,0.0,0.0,0.0,1.7234653,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.515,0.0,0.0,0.0,0.0,1.757504,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.520,0.0,0.0,0.0,0.0,1.7918755,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.525,0.0,0.0,0.0,0.0,1.8265799,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.530,0.0,0.0,0.0,0.0,1.8616172,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.535,0.0,0.0,0.0,0.0,1.8969873,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.540,0.0,0.0,0.0,0.0,1.9326903,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.545,0.0,0.0,0.0,0.0,1.968726,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.550,0.0,0.0,0.0,0.0,2.0050948,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.555,0.0,0.0,0.0,0.0,2.0417962,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.560,0.0,0.0,0.0,0.0,2.0788305,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.565,0.0,0.0,0.0,0.0,2.1161976,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.570,0.0,0.0,0.0,0.0,2.1538978,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.575,0.0,0.0,0.0,0.0,2.1919308,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
000.580,0.0,0.0,0.0,0.0,2.2302966,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
