time,Xangle,Yangle,Zangle,velocityX,velocityY,velocityZ,accelX,accelY,accelZ
0.84,0.0,0.0,0.0,0.0,-4.9748077,0.0,0.0,-5.9584026,-0.0
0.85,0.0,0.0,0.0,0.0,-5.0344048,0.0,0.0,-5.9597225,-0.0
0.86,0.0,0.0,0.0,0.0,-5.094015,0.0,0.0,-5.961059,-0.0
0.87,0.0,0.0,0.0,0.0,-5.1536393,0.0,0.0,-5.9624114,-0.0
0.88,0.0,0.0,0.0,0.0,-5.2132773,0.0,0.0,-5.96378,-0.0
0.89,0.0,0.0,0.0,0.0,-5.272929,0.0,0.0,-5.9651647,-0.0
0.90,0.0,0.0,0.0,0.0,-5.332595,0.0,0.0,-5.966566,-0.0
0.91,0.0,0.0,0.0,0.0,-5.392275,0.0,0.0,-5.9679837,-0.0
0.92,0.0,0.0,0.0,0.0,-5.451969,0.0,0.0,-5.9694176,-0.0
0.93,0.0,0.0,0.0,0.0,-5.5116777,0.0,0.0,-5.970867,-0.0
0.94,0.0,0.0,0.0,0.0,-5.571401,0.0,0.0,-5.972334,-0.0
0.95,0.0,0.0,0.0,0.0,-5.6311393,0.0,0.0,-5.973817,-0.0
0.96,0.0,0.0,0.0,0.0,-5.690892,0.0,0.0,-5.975315,-0.0
0.97,0.0,0.0,0.0,0.0,-5.7506604,0.0,0.0,-5.976831,-0.0
0.98,0.0,0.0,0.0,0.0,-5.810444,0.0,0.0,-5.978363,-0.0
0.99,0.0,0.0,0.0,0.0,-5.870243,0.0,0.0,-5.979911,-0.0
1.00,0.0,0.0,0.0,0.0,-5.930058,0.0,0.0,-5.9814754,-0.0
1.01,0.0,0.0,0.0,0.0,-5.9898887,0.0,0.0,-5.9830565,-0.0
1.02,0.0,0.0,0.0,0.0,-6.049735,0.0,0.0,-5.984654,-0.0
1.03,0.0,0.0,0.0,0.0,-6.1095977,0.0,0.0,-5.986268,-0.0
1.04,0.0,0.0,0.0,0.0,-6.1694765,0.0,0.0,-5.9878983,-0.0
1.05,0.0,0.0,0.0,0.0,-6.229372,0.0,0.0,-5.9895453,-0.0
1.06,0.0,0.0,0.0,0.0,-6.289284,0.0,0.0,-5.991209,-0.0
1.07,0.0,0.0,0.0,0.0,-6.349213,0.0,0.0,-5.992889,-0.0
1.08,0.0,0.0,0.0,0.0,-6.409159,0.0,0.0,-5.9945855,-0.0
1.09,0.0,0.0,0.0,0.0,-6.469122,0.0,0.0,-5.996299,-0.0
1.10,0.0,0.0,0.0,0.0,-6.5291023,0.0,0.0,-5.9980283,-0.0
1.11,0.0,0.0,0.0,0.0,-6.5891,0.0,0.0,-5.999775,-0.0
1.12,0.0,0.0,0.0,0.0,-6.649115,0.0,0.0,-6.001538,-0.0
1.13,0.0,0.0,0.0,0.0,-6.7091484,0.0,0.0,-6.003318,-0.0
1.14,0.0,0.0,0.0,0.0,-6.7691994,0.0,0.0,-6.005114,-0.0
1.15,0.0,0.0,0.0,0.0,-6.8292685,0.0,0.0,-6.006927,-0.0
1.16,0.0,0.0,0.0,0.0,-6.889356,0.0,0.0,-6.0087566,-0.0
1.17,0.0,0.0,0.0,0.0,-6.949462,0.0,0.0,-6.0106034,-0.0
1.18,0.0,0.0,0.0,0.0,-7.009587,0.0,0.0,-6.0124664,-0.0
1.19,0.0,0.0,0.0,0.0,-7.0697303,0.0,0.0,-6.0143466,-0.0
1.20,0.0,0.0,0.0,0.0,-7.129893,0.0,0.0,-6.0162435,-0.0
1.21,0.0,0.0,0.0,0.0,-7.1900744,0.0,0.0,-6.018157,-0.0
1.22,0.0,0.0,0.0,0.0,-7.250275,0.0,0.0,-6.0200877,-0.0
1.23,0.0,0.0,0.0,0.0,-7.3104954,0.0,0.0,-6.0220346,-0.0
1.24,0.0,0.0,0.0,0.0,-7.370735,0.0,0.0,-6.023999,-0.0
1.25,0.0,0.0,0.0,0.0,-7.430995,0.0,0.0,-6.02598,-0.0
1.26,0.0,0.0,0.0,0.0,-7.491275,0.0,0.0,-6.027978,-0.0
1.27,0.0,0.0,0.0,0.0,-7.5515747,0.0,0.0,-6.029993,-0.0
1.28,0.0,0.0,0.0,0.0,-7.611895,0.0,0.0,-6.0320244,-0.0
